,location,price-boroughwise,property_type,cluster_id
263,Kensington and Chelsea,very_cheap,small,263
264,Kensington and Chelsea,very_expensive,large,264
265,Kensington and Chelsea,very_expensive,room,265
266,Kensington and Chelsea,very_expensive,small,266
267,Kingston upon Thames,average,large,267
268,Kingston upon Thames,average,room,268
269,Kingston upon Thames,average,small,269
270,Kingston upon Thames,cheap,room,270
271,Kingston upon Thames,cheap,small,271
272,Kingston upon Thames,expensive,large,272
273,Kingston upon Thames,expensive,room,273
274,Kingston upon Thames,expensive,small,274
275,Kingston upon Thames,very_cheap,room,275
276,Kingston upon Thames,very_expensive,large,276
277,Kingston upon Thames,very_expensive,room,277
278,Kingston upon Thames,very_expensive,small,278
279,Lambeth,average,large,279
280,Lambeth,average,room,280
281,Lambeth,average,small,281
282,Lambeth,cheap,large,282
283,Lambeth,cheap,room,283
284,Lambeth,cheap,small,284
285,Lambeth,expensive,large,285
286,Lambeth,expensive,room,286
287,Lambeth,expensive,small,287
288,Lambeth,very_cheap,large,288
289,Lambeth,very_cheap,room,289
290,Lambeth,very_cheap,small,290
291,Lambeth,very_expensive,large,291
292,Lambeth,very_expensive,room,292
293,Lambeth,very_expensive,small,293
294,Lewisham,average,large,294
295,Lewisham,average,room,295
296,Lewisham,average,small,296
297,Lewisham,cheap,large,297
298,Lewisham,cheap,room,298
299,Lewisham,cheap,small,299
300,Lewisham,expensive,large,300
301,Lewisham,expensive,room,301
302,Lewisham,expensive,small,302
303,Lewisham,very_cheap,large,303
304,Lewisham,very_cheap,room,304
305,Lewisham,very_cheap,small,305
306,Lewisham,very_expensive,large,306
307,Lewisham,very_expensive,room,307
308,Lewisham,very_expensive,small,308
309,Merton,average,large,309
310,Merton,average,room,310
311,Merton,average,small,311
312,Merton,cheap,large,312
313,Merton,cheap,room,313
314,Merton,cheap,small,314
315,Merton,expensive,large,315
316,Merton,expensive,room,316
317,Merton,expensive,small,317
318,Merton,very_cheap,room,318
319,Merton,very_cheap,small,319
320,Merton,very_expensive,large,320
321,Merton,very_expensive,room,321
322,Merton,very_expensive,small,322
323,Newham,average,large,323
324,Newham,average,room,324
325,Newham,average,small,325
326,Newham,cheap,room,326
327,Newham,cheap,small,327
328,Newham,expensive,large,328
329,Newham,expensive,room,329
330,Newham,expensive,small,330
331,Newham,very_cheap,room,331
332,Newham,very_cheap,small,332
333,Newham,very_expensive,large,333
334,Newham,very_expensive,room,334
335,Newham,very_expensive,small,335
336,Redbridge,average,large,336
337,Redbridge,average,room,337
338,Redbridge,average,small,338
339,Redbridge,cheap,room,339
340,Redbridge,expensive,large,340
341,Redbridge,expensive,room,341
342,Redbridge,expensive,small,342
343,Redbridge,very_cheap,room,343
344,Redbridge,very_cheap,small,344
345,Redbridge,very_expensive,large,345
346,Redbridge,very_expensive,room,346
347,Redbridge,very_expensive,small,347
348,Richmond upon Thames,average,large,348
349,Richmond upon Thames,average,room,349
350,Richmond upon Thames,average,small,350
