,location,price-boroughwise,property_type,review_scores_rating,listing_id
30641,Camden,very_expensive,large,75.0,25765812.0
30643,Camden,expensive,small,100.0,25768018.0
30644,Camden,expensive,large,84.0,25768530.0
30648,Camden,very_expensive,large,87.0,25770489.0
30680,Camden,cheap,small,93.0,25790041.0
30690,Camden,cheap,small,97.0,25794108.0
30691,Camden,very_cheap,room,96.0,25794201.0
30705,Camden,average,large,95.0,25802859.0
30711,Camden,very_expensive,large,97.0,25805000.0
30714,Camden,expensive,small,96.0,25805773.0
30728,Camden,very_cheap,room,83.0,25821649.0
30729,Camden,very_cheap,room,68.0,25821660.0
30730,Camden,very_cheap,room,65.0,25821677.0
30770,Camden,average,large,83.0,25857906.0
30771,Camden,cheap,small,90.0,25858082.0
30817,Camden,very_cheap,room,94.0,25884166.0
30827,Camden,expensive,large,87.0,25892378.0
30905,Camden,expensive,large,73.0,25949158.0
30929,Camden,expensive,small,99.0,25965690.0
30992,Camden,average,large,81.0,26007193.0
31018,Camden,average,large,84.0,26021763.0
31021,Camden,very_cheap,room,83.0,26023396.0
31030,Camden,average,small,97.0,26028175.0
31044,Camden,very_expensive,large,80.0,26036289.0
31096,Camden,average,small,90.0,26078063.0
31102,Camden,cheap,small,99.0,26091571.0
31106,Camden,very_expensive,large,97.0,26094943.0
31128,Camden,expensive,small,89.0,26104797.0
31132,Camden,very_expensive,small,86.0,26105796.0
31135,Camden,expensive,small,91.0,26107802.0
31149,Camden,expensive,small,82.0,26119027.0
31152,Camden,very_expensive,large,90.0,26119157.0
31153,Camden,very_expensive,large,74.0,26119197.0
31154,Camden,very_expensive,large,84.0,26119247.0
31155,Camden,very_expensive,large,89.0,26119299.0
31163,Camden,expensive,small,82.0,26123131.0
31191,Camden,expensive,large,87.0,26146130.0
31209,Camden,cheap,small,97.0,26154662.0
31229,Camden,expensive,small,97.0,26176023.0
31245,Camden,cheap,small,85.0,26182898.0
31263,Camden,expensive,large,96.0,26210292.0
31303,Camden,cheap,small,90.0,26241544.0
31323,Camden,very_cheap,room,88.0,26250557.0
31335,Camden,expensive,large,97.0,26266362.0
31353,Camden,cheap,room,96.0,26276630.0
31359,Camden,average,room,100.0,26287178.0
31404,Camden,cheap,room,96.0,26316975.0
31431,Camden,cheap,small,100.0,26328584.0
31448,Camden,average,large,70.0,26343076.0
31450,Camden,cheap,room,90.0,26343353.0
31455,Camden,expensive,small,95.0,26347137.0
31464,Camden,cheap,room,100.0,26351457.0
31479,Camden,very_expensive,large,98.0,26360529.0
31491,Camden,very_expensive,large,88.0,26365836.0
